"HolderAddress","Balance","PendingBalanceUpdate"
"0xf42b6d11822c0c711d5cc89c17445629d5c2eb26","4.86928962062991E+24","No"
"0x2b7079377e3ef0d65572de50d9601d54ff6dfe81","2.47637701390211E+24","No"
"0x431b7c3be4d135c60c9191d3c644af600b0f683d","1.20075468920494E+25","No"
"0x05f1125e2930de989ee116b15c3337b30bade2b7","7E+24","No"
"0x657290074eb192e3e968942f130ebda629182e20","8E+24","No"
"0x7744ef29b90ea44dc89318520e1490b9ba65e391","1.09025036674139E+25","No"
"0x073fa740d0342c1120dacf38fbfcdb39629d78a5","5.53166008022231E+25","No"
"0x68668d8e23276cf6a80fa6db68e99bc8caabe6be","1.37673554376069E+26","No"
"0x6510dc130f04e21d60a94a9cafa7170c0b8dc354","1.23393287102332E+24","No"
"0x93f263bda652e5061386284a7d3b6ea0cdd27852","2.01438511431874E+17","No"
"0xc89308f8adc0c8dfd5a8dc91e2c40730af52dff4","8.97583467778331E+22","No"
"0x33d77cd97a8ed948a74b3342b9d2c5bfc018f88d","4.57472707165231E+27","No"
"0x230aad89bad7cd96ad77d78df938423b3f66318b","1E+25","No"
"0x9a67c3be142b882473a6ea438bbd5f421f683861","4.91141E+24","No"
"0x912e7c0e889b1b8f42807011d587d075e3f7c507","1.83491668271012E+27","No"
"0x4e1f2fc06f7d3cc5ac1ad1a5614f3a8d9a7e7767","7.83262410777085E+27","No"
"0xb7cf8b77e29be1ae107a37e65afd0196708e0dee","5E+25","No"
"0x60e38ee99c86a95db7a1081bcb5b5fa48a7f6bfe","1.79981143482302E+26","No"
"0x7262a7a0d9b930844665f55aaaca6f31a9d88669","2.51E+25","No"
"0x081f05b1a9bc75f3db0838f947db114da618232b","8.79187182426991E+24","No"
"0x2015134fbe329c36fa60a1fde696b94be7b0baaf","8.0243254362393E+26","No"
"0x9b81096adecaad9f6c98599c4481489702008bb7","1.17494620889866E+23","No"
"0x22df2e0032b1b42492c5fdbc40b49df8094cad29","1.32505022573803E+26","No"
"0x9b0b2d0704950bf12fc960b5797eb73abacc2c99","3.30962668993661E+28","No"
"0xf2fd5c51c8c8ba0d47dc0eeb7bf8c81bcaa0e994","5E+25","No"
"0x502a416103da2008121ddbf1c26e193a2100b836","2.10039259256034E+17","No"
"0x38f9025b14db270cefa278352360a27e9a24c835","51301539698002","No"
"0x0000000000c753300f3758b9ca49754201918ebd","2","No"
"0x666666a0200c2b78eddd1ef279488c6a714f010d","8.36515012851564E+15","No"
"0x855a5b16782304d3382dd764ef69a10efbeb9a77","1","No"
"0x244f60d082c1a759d3336cf865ebeddf13f849e6","5","No"
"0xed3d1d066b93d4272976a806c233ee1b0eb22b8b","5.37381120325929E+24","No"
"0x40bc4deac54c3f1ed5dfcf6cdcdd5c0c9928133a","9.81687442217411E+20","No"
"0x304cecc8e0fa8a2195e7ccf5ca7568c87762d84c","7.3496561495547E+24","No"
"0x4e0b525050980b45de5902d10067f2ad6e14d1d5","5.42984424421597E+24","No"
"0xdba6f5051b7a16020b9edfcbbc8bbc91f04b4ba7","2.14602781684118E+25","No"
"0x8f56d459055c0040e4f839b63350311d6a63a9d8","1.5E+24","No"
"0x4fd1dca6b17ef33066e3aad93ca5457707af7420","1E+25","No"
"0x414d482c5baf1d483f8024679a526e45d775e54d","3.91210112871886E+26","No"
"0x6b8fb3efb0138fa29113a9116f11e52bbd1f638b","1.44570453636541E+24","No"
"0xfc3557d3ee3e3c9634ee1a285caca71171f38847","2.9326914732955E+25","No"
"0xe98169abe0ffec9536102d1a5a57075043edd1ec","2E+25","No"
"0x1b80dbbd358e9986188a400fc0ea3f6e340c1bc3","1.56298288929852E+26","No"
"0x093f674da00820088d5fb41934482a6c472f2e43","3.70749152194153E+25","No"
"0xd7e16d64ed812128b1e11078534dd67c8fee78e5","9.8E+24","No"
"0x41a95bf01bf5f7239b87232d94aae1ad29de1286","59821299533749","No"
"0x089d75616e68ec22516c5b3c8c936c6696a18031","1.26796344171456E+25","No"
"0x07a8c5d8dcff6e85ecbe441cf62d99b022b357c3","3.85401855624958E+24","No"
"0x64fddc7d5ce0309e7fe32aa6d5ba6bd2dfc0407a","69586129342949","No"
"0xe4e7f1813f5522fed585f8fbc86940cec665eca4","4.82677221468002E+17","No"
"0xd5b325ca07e57a79717773081ea15bb24758a87f","3.10683940149248E+24","No"
"0x8ca0fc9a4ae5516588af00d56a9bcedf5dc325b3","9E+24","No"
"0xfc0a50ea970bf218390f643ae7c4b11d6ebd867a","1.25529036238084E+26","No"
"0x38c9296dfa59af716bb6280e23de050903da1ac0","8.26948076972868E+21","No"
"0xc464bffdc85988cb3a4756a6ab12fa2ae56cf0d5","7.0111549928033E+24","No"
"0x46fe1abde63feef2bc92bacd0af069c0f191420c","8.9E+19","No"
"0xdcbe18cb497d00b9341ac806ac4f5a1290066d45","9.0400585993814E+15","No"
"0x86b305b50ea7dd8bae8e8c4f750719517f260f51","8.98065220957579E+25","No"
"0x734e68e247dee82b8fa8265a5f680fd277be4ddc","1.18249E+25","No"
"0xa899fb2493f37ec20a8fc6793e36da35aca691d8","5E+25","No"
"0x8d0b6f710eb0bb19ef8b763e17ec3e7fc2b4a6b4","1.65286205630575E+27","No"
"0x147826bd5c532b39592407e26da7e38ae283ca8e","2.13454274935968E+24","No"
"0x713742a15052c76dc6a958855c938d2e66f38b57","3.78780195558324E+25","No"
"0x567981f74088f98ede5830e200b155d7e0839660","2.5764916422708E+25","No"
"0xb6d73b719faf85de5ba817e90384d53693aa1440","3.9129117610952E+25","No"
"0xfc635c343bd608f07af323149aae610aa3f201d0","2.16308066245588E+25","No"
"0xea087b58b5125b08137c9d1e9788510891c2e47e","1.22594965635427E+24","No"
"0x2dcbc62d0fa9738fd59e5e496bad529ca4583623","1.31359297258956E+25","No"
"0x5e6f8d91e4d2a230f74033206b5f62ad8828a3bf","2E+24","No"
"0x503c216a1a04010acb73c8764ef85a481732d1a3","8.35507664627091E+19","No"
"0xd8de564f4f28ed5f24ac6a2824ae7dbfb440fe86","4.53403677094179E+24","No"
"0x43017656aa007877c35d69ab534af6b1431060dd","1.52154626751236E+26","No"
"0x6846c5adcf86613d566a84f0160645cfbde8892b","88022801970683","No"
"0x98512ab8f52e6d730a3ad6979fae91109ff7f97f","3.77351030476865E+24","No"
"0xa57bf0d005f88d0d59ba06034ced630eeffe259e","1.4E+24","No"
"0x0000fee6275dab194ab538a01dd8b18b02b20000","1","No"
"0x060b2a5abc2bb1d42a8f6f79bdfbae34050cc7f3","1.29209893938337E+26","No"
"0xe8a5c3cabe55901d870e3a5928c2906c7fce0d71","37650116355408","No"
"0x61342f08a804918d02aa99eb9c94ea2b6c032889","2.53696650924424E+25","No"
"0xf687b20e783e9b6d3d57e6303817740dd506a7d0","1.10918952559325E+26","No"
"0xd69cfb170c637b373a3cde5e1117d44825e62681","1.88909873172422E+26","No"
"0x1b5f1fd24da98931a437026ef18509e38db88945","4.73606414563391E+24","No"
"0x286e89d827fd7ae42f96e87b21afe898768caa1c","4667391577458","No"
"0xc198054cd7db2edd16bbfe3b1bd03a4bb02c73ec","1.341751848197E+25","No"
"0xe8eaf467085b820922b8a7954122a3b053500e8e","2.31994549153801E+27","No"
"0x088fdd444fd6d1a7cdfd38cb1bfb84b2b52e3723","3.18431967481239E+26","No"
"0xd149baf6bf8754339a174b254c58464ba1ab9058","1.48718432110539E+25","No"
"0x9e6cd914da10e0c234bc916544706b6640321081","1.4865798158508E+24","No"
"0x083146357aba6a76e009aae4d08d195f9cb744d0","8.53856590743555E+24","No"
"0x70b07e3701e0f613579b6382f3b7b53b507831d7","6.59493371273327E+15","No"
"0xf657b7a98d3401fddeba5a1f6dfddb896291fa53","1.58944982300244E+25","No"
"0xd4ef4f49826451193b151bf05a39058be28b8c7c","1.56541489901042E+24","No"
"0x8112f1d2f3238e9b71d120663ef420f559e26200","3.09152022109496E+26","No"
"0x55d44456959836c3b585cc62f603344580b0eb51","3.7270724E+25","No"
"0xf0f1fef6649b0fa315b5ce5d9a7e32179bea4a3c","8.38011749257587E+24","No"
"0xdefc6ee4eb04f6b06b449a6a71f0b4dcb326102d","1E+25","No"
"0xdd251a1271531629c427aab5d131f276065c4712","1.1E+25","No"
"0x669c65cdab6956b9be1ab249e209c801eeb1fcbe","7.5E+24","No"
"0x4ea70cbe3aceccf16499d926eb7cf842756d8e9b","5E+24","No"
"0x42812ff9d3f5ab159958427b97cb17e7ca8db93c","5E+24","No"
"0xd928d4fec90c3707a1d512bc496590a247b8f044","2.88903107830233E+18","No"
"0x0643f1a77085bcd5f0027b201abe78705c0836fd","5.11856629033312E+27","No"
"0xa360ac8f49d1ccf032cbac540e25750b61c5eee0","3.35898359128811E+26","No"
"0x1ae1bb5807ff1b4feddbf3da2e3df20c77083a00","1.02327266441831E+26","No"
"0xf01a1711731a20c137b3f03f36aa1b1b755890fe","2.16515321492174E+24","No"
"0x5162657cdc48a7eea085182b50419e21f903ae17","1.9E+25","No"
"0xd6fcf4d898800946e31e848d36061b7ed8e0319d","4.83750253832862E+24","No"
"0x34c6349934390cfec820a74be4f8c3e98e3fbae7","1.10407307271799E+26","No"
"0xb4552ba013321f1425653db74083b7a7680456d3","3.70134781122233E+27","No"
"0x1421277083d6def7df22fbf9d41f64a6d96fba31","1E+26","No"
"0xee3ef219ba1d096e39dca8401d2f71803e9f44bb","1E+26","No"
"0x92cd30557ee79ae896202665d851cbbefcada598","3.03962556183238E+25","No"
